school_year,district_id,school_id,school_number,core_code,individual school course_section,grade_level,Student Enrollment
2015,186170,186170,700,35020000035,802512,9,1
2015,186170,186170,700,35020000035,802513,9,8
2015,186170,186170,700,35020000035,802514,9,2
2015,186170,186170,700,35020000035,802515,9,3
2015,186170,186170,700,35020000035,80257,9,12
2015,186170,186170,700,35020000035,80258,9,3
2015,186170,186170,700,35020000035,80259,9,7
2015,186170,186170,700,35020000035,8025B3,9,7
2015,186170,186170,700,35020000035,8025B4,9,3
2015,186170,186170,700,35020000035,8025B5,9,6
2015,186170,186170,700,35020000035,8025B6,9,4
2015,186170,186170,700,35020000035,8025B9,9,1
2015,186182,186182,101,32020000216,348971,9,25
2015,186182,186182,101,32020000216,348991,9,17
2015,186306,186307,700,32020000216,16211,9,35
2015,186306,186307,700,35020000007,16221,9,35
2015,186306,186307,700,35020000030,16062,9,35
2015,186306,186307,700,35020000035,16081,9,37
2015,186306,186307,700,35020000060,16151,9,36
2015,186357,186358,800,35020000030,591,9,4
2015,186357,186358,800,35020000030,3031,9,4
2015,186357,186358,800,35020000030,6141,9,20
2015,186357,186358,800,35020000030,6491,9,7
2015,186369,186370,700,35020000030,1021,9,8
2015,186369,186370,700,35020000030,1086,9,16
2015,186369,186370,700,35020000030,1136,9,7
2015,186369,186370,700,35020000030,1194,9,16
2015,186369,186370,700,35020000030,1295,9,4
2015,186369,186370,700,35020000030,1296,9,5
2015,186369,186370,700,35020000030,1633,9,3
2015,186369,186370,700,35020000030,1634,9,5
2015,122,180,704,35020000007,C60720070,10,14
2015,122,180,704,35020000030,C6151004,10,10
2015,122,180,704,35020000030,C6152040,10,10
2015,122,180,704,35020000060,C61010050,10,7
2015,122,180,704,35020013030,UCS101007,10,3
2015,122,181,708,35020000030,C6151121,10,32
2015,122,181,708,35020000030,C6151171,10,2
2015,122,181,708,35020000030,C6151181,10,1
2015,122,181,708,35020000030,C6151221,10,9
2015,122,181,708,35020000030,C6151281,10,1
2015,122,181,708,35020013030,UCS10812,10,6
2015,122,181,708,35020013030,UCS10817,10,1
2015,122,181,708,35020013030,UCS10912,10,6
2015,122,181,708,35020013030,UCS10917,10,1
2015,122,181,708,35020013030,UCS14112,10,14
2015,122,181,708,35020013030,UCS14212,10,16
2015,122,181,708,35020013030,UCS14217,10,1
2015,122,182,709,32020000150,C2601S111,10,14
2015,122,182,709,32020000150,C2601S216,10,10
2015,122,182,709,32020013150,UDM238101,10,6
2015,122,182,709,32020013150,UDM238206,10,4
2015,122,182,709,35020000030,C61511116,10,21
2015,122,182,709,35020000030,C61511117,10,15
2015,122,182,709,35020000030,C61522216,10,9
2015,122,182,709,35020000030,C61522217,10,11
2015,122,183,711,32020000150,C2601S01,10,6
2015,122,183,711,32020000150,C2601S21,10,3
2015,122,183,711,32020013150,UDM23801,10,1
2015,122,184,712,32020000216,CS20021H,10,10
2015,122,184,712,35020000030,C615025J,10,1
2015,122,185,716,35020000007,C60721011,10,11
2015,122,185,716,35020000007,C60721071,10,24
2015,122,185,716,35020000007,C60721081,10,23
2015,122,185,716,35020000007,C60722012,10,17
2015,122,185,716,35020000007,C60722072,10,14
2015,122,185,716,35020000007,C60722082,10,27
2015,122,185,716,35020000030,C61510021,10,11
2015,122,185,716,35020000030,C61510061,10,5
2015,122,185,716,35020000030,C6152062,10,7
2015,122,185,716,35020013030,UCS100041,10,2
2015,122,185,716,35020013030,UCS100042,10,6
2015,122,185,716,35020013030,UCS141021,10,9
2015,122,185,716,35020013030,UCS141061,10,5
2015,122,185,716,35020013030,UCS142062,10,1
2015,122,186,718,32020000150,C2601S007,10,9
2015,122,186,718,32020000150,C2601S027,10,12
2015,122,186,718,32020013150,UDM238007,10,5
2015,122,186,718,32020013150,UDM238207,10,3
2015,122,186,718,35020000030,C6150005,10,14
2015,122,188,730,35020000007,C60721jp,10,1
2015,122,186032,789,35020000030,C61501011,10,3
2015,122,186032,789,35020000030,C61502012,10,2
2015,122,186032,789,35020000030,C61502022,10,1
2015,197,203,708,32020000150,85972,10,16
2015,197,203,708,32020000216,85581,10,14
2015,243,271,706,35020000007,80801,10,24
2015,243,271,706,35020000007,80802,10,30
2015,243,271,706,35020000007,80803,10,28
2015,243,271,706,35020000007,80804,10,21
2015,243,271,706,35020000030,87251,10,7
2015,243,271,706,35020000030,87252,10,13
2015,243,271,706,35020000030,87261,10,4
2015,243,271,706,35020013030,87271,10,3
2015,279,293,704,35020000007,21221,10,1
2015,279,293,704,35020000007,21222,10,2
2015,279,293,704,35020000030,87021,10,6
2015,308,390,704,32020000150,855570400001,10,8
2015,308,390,704,32020013216,852370400005,10,1
2015,308,391,706,35020000007,868070600001,10,18
2015,308,391,706,35020000007,868070600002,10,14
2015,308,391,706,35020000007,868070600003,10,16
2015,308,391,706,35020000007,868070600004,10,16
2015,308,391,706,35020000030,868370600001,10,5
2015,308,391,706,35020000030,868470600001,10,4
2015,308,392,708,35020000035,867070800001,10,1
2015,308,392,708,35020000035,867070800002,10,2
2015,308,392,708,35020000035,867070800003,10,3
2015,308,392,708,35020000035,867070800004,10,2
2015,308,393,710,32020013216,852371000002,10,3
2015,308,393,710,35020000030,868371000001,10,16
2015,308,393,710,35020000030,868371000002,10,16
2015,308,394,711,35020000007,868071100001,10,25
2015,308,394,711,35020000007,868071100002,10,16
2015,308,394,711,35020000030,868371100002,10,2
2015,308,394,711,35020000030,868371100003,10,2
2015,308,394,711,35020000030,868371100004,10,4
2015,308,394,711,35020000030,868471100001,10,2
2015,308,394,711,35020000030,868471100002,10,5
2015,308,395,712,35020000007,868071200001,10,6
2015,308,395,712,35020000007,868071200002,10,24
2015,308,395,712,35020000007,868071200003,10,18
2015,308,396,714,32020013216,852371400001,10,3
2015,308,185844,716,35020000007,868071600001,10,9
2015,308,185844,716,35020000030,868371600001,10,1
2015,308,185844,716,35020000030,868371600002,10,1
2015,308,185844,716,35020000030,868471600001,10,2
2015,422,434,704,32020000216,852271,10,3
2015,422,437,714,32020000150,85851,10,2
2015,422,437,714,32020000150,85855,10,1
2015,422,437,714,32020013216,OSS14001,10,10
2015,422,437,714,35020000007,85401,10,6
2015,422,437,714,35020000007,854010,10,3
2015,422,437,714,35020000007,85402,10,10
2015,422,437,714,35020000007,85405,10,8
2015,456,466,712,32020000216,320202162,10,1
2015,468,473,704,35020000060,82011,10,12
2015,480,598,702,32020000150,61091125,10,7
2015,480,599,704,32020000216,61037121,10,9
2015,480,601,710,32020000150,61091123,10,6
2015,480,604,716,32020000150,61091141,10,3
2015,480,604,716,32020000216,61037141,10,2
2015,480,605,718,35020000030,64040003,10,11
2015,480,605,718,35020000030,64040006,10,18
2015,635,649,704,35020000030,CTSEG030S1,10,13
2015,635,650,708,32020000216,CTBUG216T4,10,26
2015,635,650,708,32020000216,CTBUG216T5,10,16
2015,635,650,708,32020000216,CTBUG216T6,10,13
2015,635,651,712,35020000030,CTSEG030Y5,10,2
2015,635,652,750,32020000150,CTBUG150S1,10,3
2015,635,652,750,32020000150,CTBUG150S3,10,2
2015,653,734,703,32020000150,8309101,10,2
2015,765,770,704,35020000007,HS700051,10,7
2015,765,770,704,35020000007,HS700051002,10,7
2015,783,790,704,32020000216,852111,10,2
2015,783,790,704,32020000216,852113,10,1
2015,783,790,704,32020000216,852119,10,1
2015,783,790,704,35020000060,85965,10,3
2015,783,791,708,32020000216,85218,10,3
2015,795,799,704,35020000007,12481,10,7
2015,800,828,708,32020013216,85192C1,10,2
2015,800,828,708,35020013030,A85164C1,10,1
2015,800,829,712,35020013030,85162C1,10,13
2015,800,829,712,35020013030,85162C2,10,15
2015,800,829,712,35020013030,85172C2,10,8
2015,800,829,712,35020013030,85172C3,10,12
2015,800,829,712,35020013030,A85164C1,10,1
2015,800,185824,706,35020013030,85162C1,10,9
2015,800,185824,706,35020013030,85162C2,10,11
2015,800,185824,706,35020013030,85172C1,10,11
2015,800,185824,706,35020013030,85172C2,10,5
2015,800,185825,702,35020013030,85162C2,10,21
2015,800,185825,702,35020013030,85162C3,10,8
2015,800,185825,702,35020013030,85172C2,10,9
2015,800,185825,702,35020013030,A85164C1,10,1
2015,800,186281,747,35020013030,A85163C2,10,3
2015,800,186281,747,35020013030,A85164C2,10,2
2015,837,846,704,32020000216,8512C1,10,16
2015,849,854,704,32020000150,230911,10,2
2015,849,854,704,32020000150,2309113,10,2
2015,856,863,704,32020000216,C3211001,10,13
2015,856,863,704,35020000030,C3511071,10,20
2015,856,863,704,35020000030,C3511081,10,7
2015,880,893,706,32020000150,85421,10,2
2015,880,893,706,35020000007,80021,10,16
2015,921,929,708,32020000150,80351,10,6
2015,921,929,708,32020000150,80352,10,4
2015,921,929,708,32020000150,80353,10,14
2015,921,929,708,32020000150,80354,10,13
2015,930,937,704,32020000216,80210110,10,1
2015,947,963,704,32020000150,85561,10,4
2015,947,965,712,32020000216,85311,10,6
2015,947,965,712,35020000007,85381,10,7
2015,947,185832,720,35020000007,85381,10,5
2015,947,185832,720,35020000007,85382,10,1
2015,972,988,704,35020000007,89121,10,23
2015,972,988,704,35020000007,89122,10,24
