,person_id,district_nbr,LEA,school_name,school_nbr,cert_endo_degree_desc,endo_receive_date,,,
,24124.934,7,Davis District,Viewmont High,712,Multimedia,7/30/2002,,,
,3221.326,10,Garfield District,Panguitch High,712,Multimedia,7/30/2002,,,
,3221.326,10,Garfield District,Panguitch Middle,304,Multimedia,7/30/2002,,,
,37450.78,12,Granite District,Granite District,12,Multimedia,7/30/2002,,,
,3336.878,13,Iron District,Cedar Middle,304,Multimedia,7/30/2002,,,
,18441.848,19,Nebo District,Salem Hills High,706,Multimedia,7/30/2002,,,
,29933.934,36,Salt Lake District,West High,716,Multimedia,7/30/2002,,,
,31765.182,36,Salt Lake District,West High,716,Multimedia,7/30/2002,,,
,22907.556,1D,Renaissance Academy,Renaissance Academy,100,Multimedia,7/30/2002,,,
,19355.274,38,Provo District,Dixon Middle,408,Computer Programming,8/5/2002,,,
,19355.274,38,Provo District,Independence High,730,Computer Programming,8/5/2002,,,
,58911.11,15,Juab District,Juab High,704,Multimedia,9/4/2002,,,
,30372.278,38,Provo District,Provo High,704,Multimedia,9/16/2002,,,
,31616.66,36,Salt Lake District,East High,704,Oracle (Database Development),9/16/2002,,,
,37575.124,99,USBE,USBE,99,Computer Science - Level 2,11/20/2002,,,
,29276.732,7,Davis District,Davis District,7,Computer Programming,2/11/2003,,,
,84744.832,38,Provo District,Provo High,704,A+ (Computer Repair/Maintenance),4/9/2003,,,
,84744.832,38,Provo District,Provo High,704,A+ (Computer Repair/Maintenance),4/9/2003,,,
,22715.074,1,Alpine District,Lakeridge Jr High,406,Computer Programming,5/14/2003,,,
,12663.62,7,Davis District,Tolman School,172,Computer Science - Level 2,5/29/2003,,,
,105677.014,1B,Utah County Academy of Science,Utah County Academy of Science,700,Certified Novell Administrator (CNA),5/30/2003,,,
,55734.058,33,Washington District,Desert Hills High,703,Computer Programming,6/12/2003,,,
,31615.404,FC,Utah Catholic Schools,Judge Memorial Catholic High,959,Network+,6/12/2003,,,
,91342.286,1B,Utah County Academy of Science,Utah County Academy of Science,700,Multimedia,6/17/2003,,,
,91342.286,1B,Utah County Academy of Science,Utah County Academy of Science,700,Multimedia,6/17/2003,,,
,26357.16,13,Iron District,Cedar Middle,304,Web Development,6/27/2003,,,
,28814.524,33,Washington District,Hurricane High,716,Web Development,6/27/2003,,,
,115194.354,38,Provo District,Centennial Middle,404,Microsoft Certified Professional (MCP),7/10/2003,,,
,45491.064,26,Sevier District,Cedar Ridge High,716,Web Development,7/11/2003,,,
,11850.674,35,Weber District,Uintah School,154,Computer Science - Level 2,8/7/2003,,,
,22715.074,1,Alpine District,Lakeridge Jr High,406,Introduction to Information Technology,8/12/2003,,,
,21978.116,7,Davis District,Davis High,708,Introduction to Information Technology,8/12/2003,,,
,25786.936,12,Granite District,Cottonwood High,702,Introduction to Information Technology,8/12/2003,,,
,68767.57,14,Jordan District,Fort Herriman Middle,417,Introduction to Information Technology,8/12/2003,,,
,55734.058,33,Washington District,Desert Hills High,703,Introduction to Information Technology,8/12/2003,,,
,29933.934,36,Salt Lake District,West High,716,Introduction to Information Technology,8/12/2003,,,
,30697.896,40,Murray District,Murray District,40,Introduction to Information Technology,8/12/2003,,,
,26264.844,40,Murray District,Murray High,704,Introduction to Information Technology,8/12/2003,,,
,28789.718,76,Northeastern Utah Ed. Serv.,Northeastern Utah Ed. Serv.,76,Introduction to Information Technology,8/12/2003,,,
,107234.14,12,Granite District,Redwood School,184,Computer Programming,8/26/2003,,,
,23325.49,1,Alpine District,Pleasant Grove High,716,Multimedia,8/26/2003,,,
,45649.948,7,Davis District,Bountiful High,704,Multimedia,8/26/2003,,,
,25786.936,12,Granite District,Cottonwood High,702,Multimedia,8/26/2003,,,
,60757.116,30,Tooele District,Stansbury High,720,Multimedia,8/26/2003,,,
,60757.116,30,Tooele District,Wendover High,714,Multimedia,8/26/2003,,,
,93249.208,35,Weber District,Roy High,708,Multimedia,8/26/2003,,,
,93249.208,35,Weber District,Weber Innovation High School,725,Multimedia,8/26/2003,,,
,93249.208,35,Weber District,Weber Online K-6,199,Multimedia,8/26/2003,,,
,24760.156,75,Central Utah Ed. Services,Central Utah Ed. Services,75,Multimedia,8/26/2003,,,
,25300.55,12,Granite District,Cyprus High,704,Oracle (Database Development),8/26/2003,,,
,107234.14,12,Granite District,Redwood School,184,Oracle (Database Development),8/26/2003,,,
,121437.616,1,Alpine District,Orem High,712,Multimedia,10/10/2003,,,
,91235.84,83,Academy for Math Engineering & Science,Academy for Math Engineering & Science,700,Computer Science - Level 2,10/29/2003,,,
,91341.658,42,Canyons District,Hillcrest High,706,Multimedia,10/30/2003,,,
,28314.008,25,San Juan District,Monticello High,704,Computer Programming,10/31/2003,,,
,25300.55,12,Granite District,Cyprus High,704,Introduction to Information Technology,12/15/2003,,,
,129443.988,33,Washington District,Snow Canyon High,725,Computer Programming,1/23/2004,,,
,129443.988,33,Washington District,Snow Canyon High,725,Introduction to Information Technology,1/23/2004,,,
,129443.988,33,Washington District,Snow Canyon High,725,Multimedia,1/23/2004,,,
,129443.988,33,Washington District,Snow Canyon High,725,Web Development,1/23/2004,,,
,115194.354,38,Provo District,Centennial Middle,404,A+ (Computer Repair/Maintenance),2/2/2004,,,
,55808.162,30,Tooele District,Stansbury High,720,Computer Science - Level 2,3/17/2004,,,
,137273.578,30,Tooele District,Tooele Jr High,404,Computer Programming,6/30/2004,,,
,23198.634,1,Alpine District,Summit High,730,Introduction to Information Technology,7/15/2004,,,
,27143.416,12,Granite District,Granite District,12,Introduction to Information Technology,7/15/2004,,,
,137273.578,30,Tooele District,Tooele Jr High,404,Introduction to Information Technology,7/15/2004,,,
,27418.48,42,Canyons District,Jordan High,708,Introduction to Information Technology,7/15/2004,,,
,31615.404,FC,Utah Catholic Schools,Judge Memorial Catholic High,959,Introduction to Information Technology,7/15/2004,,,
,99418.994,8B,American Leadership Academy,American Leadership Academy,100,Computer Science - Level 2,7/23/2004,,,
,133989.452,36,Salt Lake District,Salt Lake Technology Center,749,Computer Science - Level 2,8/3/2004,,,
,27143.416,12,Granite District,Granite District,12,Multimedia,8/10/2004,,,
,26241.294,12,Granite District,Hunter High,710,Multimedia,8/10/2004,,,
,129400.028,14,Jordan District,Copper Hills High,703,Multimedia,8/10/2004,,,
,91413.564,19,Nebo District,Payson High,704,Multimedia,8/10/2004,,,
,14011.936,28,South Summit District,South Summit Middle,304,Multimedia,8/10/2004,,,
,26279.288,40,Murray District,Murray High,704,Multimedia,8/10/2004,,,
,133989.452,36,Salt Lake District,Salt Lake Technology Center,749,Web Development,8/10/2004,,,
,45604.732,1,Alpine District,Pleasant Grove Jr High,416,Computer Programming,8/25/2004,,,
,24794.382,7,Davis District,Fairfield Jr High,402,Multimedia,8/27/2004,,,
,31250.536,7,Davis District,Davis District,7,Web Development,9/3/2004,,,
,3221.326,10,Garfield District,Panguitch High,712,Web Development,9/3/2004,,,
,3221.326,10,Garfield District,Panguitch Middle,304,Web Development,9/3/2004,,,
,22084.248,14,Jordan District,Jordan Academy for Technology and Careers - North,741,Multimedia,11/16/2004,,,
,23420.946,2,Beaver District,Beaver District,2,Web Development,1/3/2005,,,
,4688.02,12,Granite District,John F. Kennedy Jr High,422,Introduction to Information Technology,1/5/2005,,,
,35833.994,36,Salt Lake District,Ensign School,144,Computer Programming,1/27/2005,,,
,35833.994,36,Salt Lake District,Ensign School,144,Multimedia,1/27/2005,,,
,25300.55,12,Granite District,Cyprus High,704,Computer Programming,2/4/2005,,,
,68723.296,1I,Utah International Charter School,Utah International Charter School,700,Computer Science - Level 2,4/5/2005,,,
,59047.072,1,Alpine District,Willowcreek Middle,425,Introduction to Information Technology,5/18/2005,,,
,59047.072,1,Alpine District,Willowcreek Middle,425,Introduction to Information Technology,5/18/2005,,,
,26264.844,40,Murray District,Murray High,704,Oracle (Database Development),5/27/2005,,,
,28234.252,23,Piute District,Piute High,708,Web Development,5/27/2005,,,
,145369.44,14,Jordan District,Bingham High,704,Computer Programming,5/31/2005,,,
,26849.512,14,Jordan District,Copper Hills High,703,Microsoft Certified Professional (MCP),6/10/2005,,,
,26849.512,14,Jordan District,Copper Hills High,703,Microsoft Certified Professional (MCP),6/10/2005,,,
,134231.86,33,Washington District,Pine View High,720,Computer Science - Level 2,7/26/2005,,,
,134231.86,33,Washington District,Utah Online 7-12,500,Computer Science - Level 2,7/26/2005,,,
,137273.578,30,Tooele District,Tooele Jr High,404,Network+,8/22/2005,,,
,55755.724,9K,St. George Academy,St. George Academy,700,Multimedia,9/7/2005,,,
,27441.088,42,Canyons District,Alta High,702,Multimedia,9/14/2005,,,
,30749.706,40,Murray District,Murray High,704,Multimedia,9/15/2005,,,
,30085.91,37,Ogden City District,George Washington High,729,Introduction to Information Technology,10/17/2005,,,
,30085.91,37,Ogden City District,Ogden High,707,Introduction to Information Technology,10/17/2005,,,
,26985.16,42,Canyons District,Jordan High,708,A+ (Computer Repair/Maintenance),11/9/2005,,,
,37485.32,25,San Juan District,Whitehorse High,710,Multimedia,11/9/2005,,,
,134231.86,33,Washington District,Pine View High,720,Computer Programming,1/10/2006,,,
,134231.86,33,Washington District,Utah Online 7-12,500,Computer Programming,1/10/2006,,,
,137273.578,30,Tooele District,Tooele Jr High,404,Multimedia,1/10/2006,,,
,24165.126,7,Davis District,Layton High,710,Cisco Certified Networking Associate (CCNA),1/11/2006,,,
,28659.722,31,Uintah District,Ashley Valley Educ. Ctr.,750,Computer Programming,1/11/2006,,,
,142167.896,1,Alpine District,Vista Heights Middle,490,Multimedia,2/9/2006,,,
,76917.44,1,Alpine District,American Fork High,704,Multimedia,2/10/2006,,,
,129417.612,36,Salt Lake District,Clayton Middle,408,Multimedia,2/10/2006,,,
,167459.968,KD,Cinnamon Hills School,Cinnamon Hills School,650,Certified Novell Administrator (CNA),4/13/2006,,,
,167459.968,KD,Cinnamon Hills School,Cinnamon Hills School,650,Microsoft Certified Professional (MCP),4/13/2006,,,
,100951.314,1,Alpine District,Pleasant Grove High,716,Multimedia,4/20/2006,,,
,23587.366,3,Box Elder District,Bear River High,704,A+ (Computer Repair/Maintenance),5/16/2006,,,
,19355.274,38,Provo District,Dixon Middle,408,Multimedia,5/30/2006,,,
,19355.274,38,Provo District,Independence High,730,Multimedia,5/30/2006,,,
,31135.926,12,Granite District,Granite Technical Institute,775,A+ (Computer Repair/Maintenance),6/6/2006,,,
,25300.55,12,Granite District,Cyprus High,704,A+ (Computer Repair/Maintenance),7/18/2006,,,
,26848.884,42,Canyons District,Butler Middle,402,Introduction to Information Technology,7/26/2006,,,
,27046.39,14,Jordan District,Jordan Academy for Technology & Careers South,744,Multimedia,7/26/2006,,,
,27046.39,14,Jordan District,Jordan Academy for Technology and Careers - North,741,Multimedia,7/26/2006,,,
,27046.39,14,Jordan District,Jordan Academy for Technology & Careers South,744,Web Development,7/26/2006,,,
,27046.39,14,Jordan District,Jordan Academy for Technology and Careers - North,741,Web Development,7/26/2006,,,
,24593.108,7,Davis District,Davis District,7,Multimedia,8/2/2006,,,
,24593.108,7,Davis District,Davis District,7,Multimedia,8/2/2006,,,
,31615.404,FC,Utah Catholic Schools,Judge Memorial Catholic High,959,Multimedia,8/2/2006,,,
,26656.088,14,Jordan District,Herriman High,707,Multimedia,8/8/2006,,,
,25318.448,12,Granite District,Taylorsville High,722,Multimedia,8/9/2006,,,
,134231.86,33,Washington District,Pine View High,720,Multimedia,8/9/2006,,,
,134231.86,33,Washington District,Utah Online 7-12,500,Multimedia,8/9/2006,,,
,148530.792,12,Granite District,Evergreen Jr High,412,Computer Science - Level 2,8/10/2006,,,
,86345.918,32,Wasatch District,Wasatch District,32,Multimedia,8/28/2006,,,
,145458.616,7,Davis District,Kaysville Jr High,410,Multimedia,1/31/2007,,,
,14644.96,12,Granite District,Granite District,12,Multimedia,3/5/2007,,,
,170474.682,19,Nebo District,Nebo Advanced Learning Center,747,Multimedia,5/7/2007,,,
,167442.384,1B,Utah County Academy of Science,Utah County Academy of Science,700,Certified Novell Administrator (CNA),6/11/2007,,,
,25897.464,12,Granite District,Granite Connection High,740,Multimedia,7/11/2007,,,
,25283.908,12,Granite District,Granite District,12,Multimedia,7/11/2007,,,
,25283.908,12,Granite District,Granite District,12,Multimedia,7/11/2007,,,
,25224.876,12,Granite District,Youth Educational Support School,501,Multimedia,7/11/2007,,,
,169118.83,42,Canyons District,Draper Park Middle,407,Computer Science - Level 2,7/17/2007,,,
,26326.702,13,Iron District,Cedar City High,704,Multimedia,9/25/2007,,,
